PROC     COMM             PID    FD     ERR    FNAME           
PROC:    groups           46071  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    groups           46071  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    groups           46071  0      0      /etc/nsswitch.conf
PROC:    groups           46071  0      0      /etc/nsswitch.conf
PROC:    groups           46071  0      0      /etc/group      
PROC:    groups           46071  0      0      /etc/group      
PROC:    bash             46063  0      0      /root/.bashrc   
PROC:    bash             46063  0      0      /root/.bashrc   
PROC:    bash             46072  0      0      /usr/bin/dircolors
PROC:    bash             46072  0      0      /usr/bin/dircolors
PROC:    bash             46072  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46072  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    dircolors        46072  0      0      /etc/ld.so.cache
PROC:    dircolors        46072  0      0      /etc/ld.so.cache
PROC:    dircolors        46072  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    dircolors        46072  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    bash             46103  0      0      /usr/bin/cat    
PROC:    bash             46103  0      0      /usr/bin/cat    
PROC:    bash             46103  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46103  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    cat              46103  0      0      /etc/ld.so.cache
PROC:    cat              46103  0      0      /etc/ld.so.cache
PROC:    cat              46103  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    cat              46103  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
[ERROR] pid: 46103 file/mount error!
PROC:    cat              46103  -1     1      /etc/shadow     
PROC:    bash             46184  0      0      /usr/bin/mkdir  
PROC:    bash             46184  0      0      /usr/bin/mkdir  
PROC:    bash             46184  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46184  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    mkdir            46184  0      0      /etc/ld.so.cache
PROC:    mkdir            46184  0      0      /etc/ld.so.cache
PROC:    mkdir            46184  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mkdir            46184  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mkdir            46184  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mkdir            46184  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mkdir            46184  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mkdir            46184  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mkdir            46184  0      0      /proc/filesystems
PROC:    bash             46185  0      0      /usr/bin/mount  
PROC:    bash             46185  0      0      /usr/bin/mount  
PROC:    bash             46185  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46185  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    mount            46185  0      0      /etc/ld.so.cache
PROC:    mount            46185  0      0      /etc/ld.so.cache
PROC:    mount            46185  0      0      /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
PROC:    mount            46185  0      0      /usr/lib/x86_64-linux-gnu/libmount.so.1.1.0
PROC:    mount            46185  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mount            46185  0      0      /usr/lib/x86_64-linux-gnu/libselinux.so.1
PROC:    mount            46185  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mount            46185  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    mount            46185  0      0      /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
PROC:    mount            46185  0      0      /usr/lib/x86_64-linux-gnu/libblkid.so.1.1.0
PROC:    mount            46185  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mount            46185  0      0      /usr/lib/x86_64-linux-gnu/libpcre2-8.so.0.10.4
PROC:    mount            46185  0      0      /proc/filesystems
PROC:    mount            46185  0      0      /dev/sda3       
PROC:    mount            46185  0      0      /sys/devices/pci0000:00/0000:00:10.0/host32/target32:0:0/32:0:0:0/block/sda/sda3
PROC:    mount            46185  0      0      /sys/devices/pci0000:00/0000:00:10.0/host32/target32:0:0/32:0:0:0/block/sda/sda3
PROC:    mount            46185  0      0      /sys/devices/pci0000:00/0000:00:10.0/host32/target32:0:0/32:0:0:0/block/sda/dev
PROC:    mount            46185  0      0      /sys/devices/pci0000:00/0000:00:10.0/host32/target32:0:0/32:0:0:0/block/sda
PROC:    mount            46185  0      0      /dev/sda        
PROC:    mount            46185  0      0      /sys/devices/pci0000:00/0000:00:10.0/host32/target32:0:0/32:0:0:0/block/sda
PROC:    mount            46185  0      0      /sys/devices/pci0000:00/0000:00:10.0/host32/target32:0:0/32:0:0:0/block/sda
PROC:    mount            46185  0      0      /sys/devices/pci0000:00/0000:00:10.0/host32/target32:0:0/32:0:0:0/block/sda/sda3
PROC:    mount            46185  0      0      /sys/devices/pci0000:00/0000:00:10.0/host32/target32:0:0/32:0:0:0/block/sda/sda3/size
PROC:    mount            46185  0      0      /sys/devices/pci0000:00/0000:00:10.0/host32/target32:0:0/32:0:0:0/block/sda/sda3/start
[ERROR] pid: 46185 file/mount error!
PROC:    mount            46185  -1     1      /dev/sda3       
PROC:    bash             46192  0      0      /usr/bin/cat    
PROC:    bash             46192  0      0      /usr/bin/cat    
PROC:    bash             46192  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    bash             46192  0      0      /usr/lib/x86_64-linux-gnu/ld-linux-x86-64.so.2
PROC:    cat              46192  0      0      /etc/ld.so.cache
PROC:    cat              46192  0      0      /etc/ld.so.cache
PROC:    cat              46192  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
PROC:    cat              46192  0      0      /usr/lib/x86_64-linux-gnu/libc.so.6
[ERROR] pid: 46192 file/mount error!
PROC:    cat              46192  -1     1      /etc/shadow     
PROC:    bash             46063  0      0      /root/.bash_history
PROC:    bash             46063  0      0      /root/.bash_history
PROC:    bash             46063  0      0      /root/.bash_history
PROC:    bash             46063  0      0      /root/.bash_history
PROC:    bash             46063  0      0      /root/.bash_history
